phase,community_id,size,fraud_account_count,fraud_ratio,density,unique_devices,unique_ips,unique_merchants,shared_device_count,shared_ip_count,shared_device_ratio,shared_ip_ratio,avg_proj_degree
T1,38,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,39,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,36,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,64,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,63,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,62,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,61,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,60,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,58,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,57,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,56,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,52,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,55,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,72,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,68,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,66,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,69,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,67,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,65,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,79,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,78,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,74,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,82,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,85,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,86,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,83,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,84,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,88,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,87,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,90,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,89,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,92,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,93,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,95,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,96,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
