feature,gene_group,t2_mean,t3_mean,t2_std,t3_std,mean_diff,norm_mean_diff,wasserstein_dist,ks_stat,drift_score
graph_weighted_degree,Graph,0.148,0.145717,0.090543,0.078898,0.002283,0.025207,0.004195,0.0125,0.018134
tx_velocity,Transaction,0.148,0.145717,0.090543,0.078898,0.002283,0.025207,0.004195,0.0125,0.018134
acct_tx_velocity,Account,0.148,0.145717,0.090543,0.078898,0.002283,0.025207,0.004195,0.0125,0.018134
acct_tx_count,Account,0.148,0.145717,0.090543,0.078898,0.002283,0.025207,0.004195,0.0125,0.018134
graph_degree,Graph,0.386962,0.388731,0.144844,0.147155,0.001769,0.012214,0.003932,0.0155,0.015715
dev_mutation_score,Device,0.447407,0.442724,0.289305,0.284991,0.004684,0.016189,0.005341,0.0125,0.01551
behavioral_shift_score,Other,0.161349,0.162559,0.127011,0.128436,0.00121,0.009529,0.002012,0.0155,0.014181
dev_shared_count,Device,0.2945,0.2976,0.146184,0.150181,0.0031,0.021205,0.003342,0.007,0.012849
graph_shared_devices,Graph,0.2945,0.2976,0.146184,0.150181,0.0031,0.021205,0.003342,0.007,0.012849
dev_unique_count,Device,0.2955,0.2982,0.145944,0.150056,0.0027,0.018499,0.0035,0.0065,0.011666
graph_connected_devices,Graph,0.2955,0.2982,0.145944,0.150056,0.0027,0.018499,0.0035,0.0065,0.011666
dev_shared_ratio,Device,0.966167,0.965583,0.178792,0.180959,0.000583,0.003262,0.00013,0.001,0.001798
net_shared_ip_ratio,Network,0.927025,0.927042,0.239944,0.239748,1.7e-05,6.9e-05,0.000438,0.001,0.000836
acct_kyc_unverified,Account,0.5165,0.5165,0.499728,0.499728,0.0,0.0,0.0,0.0,0.0
